CONAME,address,lat,lon,distance
CIGNA CORP,"900 Cottage Grove Road, Bloomfield, CT, 6002",41.81686,-72.74126,488.080471414454 km
CSX CORP,"500 Water Street, 15th Floor, Jacksonville, FL, 32202",30.324659999999998,-81.66435,1040.9710437578249 km
CTS CORP,"1142 West Beardsley Avenue, Elkhart, IN, 46514",41.69319,-85.99262,821.6337031083873 km
CABOT CORP,"Two Seaport Lane, Suite 1300, Boston, MA, 2210",42.34924,-71.04101999999999,635.6818627644209 km
CACI INTL INC  -CL A,"1100 North Glebe Road, Arlington, VA, 22201",38.88351,-77.11784,7.0423944912006435 km
CALAMP CORP,"1401 North Rice Avenue, Oxnard, CA, 93030",34.21463,-119.14299999999999,3771.5055749774165 km
CAMPBELL SOUP CO,"1 Campbell Place, Camden, NJ, 8103",39.93936,-75.10828000000001,202.5011668945425 km
CONSTELLATION BRANDS  -CL A,"207 High Point Drive, Building 100, Victor, NY, 14564",43.02831,-77.43445,459.92671937794 km
CARDINAL HEALTH INC,"7000 Cardinal Place, Dublin, OH, 43017",40.109320000000004,-83.12047,539.981796151979 km
CARLISLE COS INC,"11605 North Community House Road, Suite 600, Charlotte, NC, 28277",35.05922,-80.83921,543.9051835634743 km
CARPENTER TECHNOLOGY CORP,"2 Meridian Boulevard, Wyomissing, PA, 19610",40.35436,-75.98308,185.39266879172294 km
CASEYS GENERAL STORES INC,"One Convenience Boulevard, Ankeny, IA, 50021",41.698859999999996,-93.57296,1437.3266319253971 km
CATERPILLAR INC,"100 NE Adams Street, Peoria, IL, 61629",40.69185,-89.58849000000001,1092.1777820831044 km
CATO CORP  -CL A,"8100 Denmark Road, Charlotte, NC, 28273",35.127359999999996,-80.8805,540.2291672188305 km
CLECO CORP,"2030 Donahue Ferry Road, Pineville, LA, 71360",31.337909999999997,-92.41839,1630.3117839598353 km
CENTURYLINK INC,"100 CenturyLink Drive, Monroe, LA, 71203",32.589929999999995,-92.06923,1526.387945793736 km
MAGELLAN HEALTH INC,"4800 Scottsdale Road, Suite 4400, Scottsdale, AZ, 85251",33.50027,-111.92646,3174.3448748314095 km
CANTEL MEDICAL CORP,"150 Clove Road, 9th Floor, Little Falls, NJ, 7424",40.86292,-74.20173,326.3224214450552 km
CHECKPOINT SYSTEMS INC,"101 Wolf Drive, PO Box 188, Thorofare, NJ, 8086",,,
CHEMED CORP,"255 East Fifth Street, Suite 2600, Cincinnati, OH, 45202",39.10161,-84.50838,647.2865457222332 km
JPMORGAN CHASE & CO,"270 Park Avenue, New York, NY, 10017",40.75582,-73.97569,333.6174571322595 km
CHEVRON CORP,"6001 Bollinger Canyon Road, San Ramon, CA, 94583",37.75947,-121.96026,3889.682052201994 km
BRINKER INTL INC,"6820 LBJ Freeway, Dallas, TX, 75240",32.92476,-96.79564,1897.6894372957988 km
CHUBB CORP,"15 Mountain View Road, Warren, NJ, 7059",40.71921,-75.17361,257.6904758043354 km
CHURCH & DWIGHT INC,"Princeton South Corporate Center, 500 Charles Ewing Boulevar, Ewing, NJ, 8628",40.285740000000004,-74.78793,247.23410793452882 km
CINCINNATI BELL INC,"221 East Fourth Street, Cincinnati, OH, 45202",39.100390000000004,-84.50818000000001,647.2700901063746 km
CINTAS CORP,"6800 Cintas Boulevard, PO Box 625737, Cincinnati, OH, 45262",39.30107,-84.47975,645.0595707924019 km
CLARCOR INC,"840 Crescent Centre Drive, Suite 600, Franklin, TN, 37067",35.942809999999994,-86.81119,924.5206099100238 km
CLOROX CO/DE,"1221 Broadway, Oakland, CA, 94612",37.80353,-122.2724,3914.734726954342 km
COCA-COLA CO,"One Coca-Cola Plaza, Atlanta, GA, 30313",33.76935,-84.39752,871.4208570882234 km
COHERENT INC,"5100 Patrick Henry Drive, Santa Clara, CA, 95054",37.40468,-121.9853,3902.9058888856475 km
COHU INC,"12367 Crosthwaite Circle, Poway, CA, 92064",32.94299,-117.03923999999999,3640.431200215708 km
COLGATE-PALMOLIVE CO,"300 Park Avenue, New York, NY, 10022",40.75703,-73.97471999999999,333.7639518597978 km
AON PLC,"The Leadenhall Building, 122 Leadenhall Street, London, EC3V 4AN",51.51377,-0.08229,5916.523417176796 km
COMCAST CORP,"One Comcast Center, Philadelphia, PA, 19103",39.95197,-75.17265,198.78603838827152 km
COMERICA INC,"Comerica Bank Tower, 1717 Main Street, MC 6404, Dallas, TX, 75201",32.78116,-96.79695,1904.8406656741763 km
COMMERCE BANCSHARES INC,"1000 Walnut Street, Kansas City, MO, 64106",39.102709999999995,-94.58227,1517.535412497381 km
CITIGROUP INC,"399 Park Avenue, New York, NY, 10022",40.75923,-73.9718,334.10807571093676 km
COMMERCIAL METALS,"6565 North MacArthur Boulevard, Suite 800, Irving, TX, 75039",32.89806,-96.96038,1912.8374973256773 km
CA INC,"520 Madison Avenue, 22nd Floor, New York, NY, 10022",40.61665,-74.15341,312.32007992487326 km
COMPUTER SCIENCES CORP,"3170 Fairview Park Drive, Falls Church, VA, 22042",38.85988,-77.21476,15.841601084708158 km
COMTECH TELECOMMUN,"68 South Service Road, Suite 230, Melville, NY, 11747",40.78178,-73.43819,372.4225455762145 km
CONAGRA FOODS INC,"One ConAgra Drive, Omaha, NE, 68102",41.2548,-95.9259,1628.8219934027973 km
CONSOLIDATED EDISON INC,"4 Irving Place, New York, NY, 10003",40.7341,-73.98831,331.3124099517619 km
BIGLARI HOLDINGS INC,"17802 IH 10 West, Suite 400, San Antonio, TX, 78257",29.61164,-98.6045,2229.6140471218923 km
CMS ENERGY CORP,"One Energy Plaza, Jackson, MI, 49201",42.2467,-84.40346,725.6925941019456 km
COOPER COMPANIES INC,"6140 Stoneridge Mall Road, Suite 590, Pleasanton, CA, 94588",37.69778,-121.92303000000001,3888.436192218587 km
MOLSON COORS BREWING CO,"1801 California Street, Suite 4600, Denver, CO, 80202",39.74734,-104.98991000000001,2402.342201842365 km
CORNING INC,"One Riverfront Plaza, Corning, NY, 14831",42.14488,-77.05570999999999,360.5876832049638 km
COUSINS PROPERTIES INC,"191 Peachtree Street NE, Suite 500, Atlanta, GA, 30303",33.75912,-84.38642,871.4405763902579 km
CRACKER BARREL OLD CTRY STOR,"305 Hartmann Drive, Lebanon, TN, 37088",36.20536,-86.32484000000001,872.768541833111 km
CRANE CO,"100 First Stamford Place, Stamford, CT, 6902",41.04466,-73.54874000000001,381.6773001637609 km
CUBIC CORP,"9333 Balboa Avenue, San Diego, CA, 92123",32.82154,-117.12875,3653.260865098544 km
CULLEN/FROST BANKERS INC,"100 West Houston Street, San Antonio, TX, 78205",29.42623,-98.49415,2232.0369565494684 km
CUMMINS INC,"500 Jackson Street, Box 3005, Columbus, IN, 47202",39.20367,-85.92269,769.4785803492418 km
CURTISS-WRIGHT CORP,"13925 Ballantyne Corporate Place, Suite 400, Charlotte, NC, 28277",35.059940000000005,-80.8546,544.6942308567601 km
DST SYSTEMS INC,"333 West 11th Street, Kansas City, MO, 64105",39.10058,-94.58792,1518.041884966847 km
WENDY'S CO,"One Dave Thomas Boulevard, Dublin, OH, 43017",40.10025,-83.10413,538.4043274624994 km
DANA HOLDING CORP,"3939 Technology Drive, Maumee, OH, 43537",41.56818,-83.69507,639.1329861894637 km
DANAHER CORP,"2200 Pennsylvania Avenue NW, Suite 800W, Washington, DC, 20037",38.90181,-77.04944,1.0371231303060249 km
DEERE & CO,"One John Deere Place, Moline, IL, 61265",41.47208,-90.42819,1174.2298541648518 km
DELTA AIR LINES INC,"1030 Delta Boulevard, Atlanta, GA, 30354",33.656009999999995,-84.42254,881.7077777739388 km
DELUXE CORP,"3680 Victoria Street North, Shoreview, MN, 55126",45.05322,-93.13112,1495.094924325925 km
DTE ENERGY CO,"One Energy Plaza, Detroit, MI, 48226",42.33313,-83.05731,636.0674354039559 km
DEVRY EDUCATION GROUP INC,"3005 Highland Parkway, Downers Grove, IL, 60515",41.83255,-88.00751,986.144109624961 km
DIEBOLD INC,"5995 Mayfair Road, North Canton, OH, 44720",40.90674,-81.42198,436.10893150101293 km
DIODES INC,"4949 Hedgcoxe Road, Suite 200, Plano, TX, 75024",33.08333,-96.79987,1890.3918096868201 km
DISNEY (WALT) CO,"500 South Buena Vista Street, Burbank, CA, 91521",34.15682,-118.32501,3703.068782381339 km
DOLLAR GENERAL CORP,"100 Mission Ridge, Goodlettsville, TN, 37072",36.30908,-86.6993,899.5955860634133 km
DOMINION RESOURCES INC,"120 Tredegar Street, Richmond, VA, 23219",37.5337,-77.45404,155.70910342763702 km
DONALDSON CO INC,"1400 West 94th Street, Minneapolis, MN, 55431",44.835390000000004,-93.29859,1498.761927164815 km
DONNELLEY (R R) & SONS CO,"35 West Wacker Drive, Chicago, IL, 60601",41.88644,-87.62909,957.6433312624414 km
DOVER CORP,"3005 Highland Parkway, Downers Grove, IL, 60515",41.83255,-88.00751,986.144109624961 km
DOW CHEMICAL,"2030 Dow Center, Midland, MI, 48674",43.61643,-84.19811999999999,796.0992293164725 km
OMNICOM GROUP,"437 Madison Avenue, New York, NY, 10022",40.75755,-73.97559,333.7403839930386 km
ASCENA RETAIL GROUP INC,"933 MacArthur Boulevard, Mahwah, NJ, 7430",41.07387,-74.17135,344.00251185665934 km
DU PONT (E I) DE NEMOURS,"Chestnut Run Plaza, 974 Centre Road, PO Box 2915, Wilmington, DE, 19805",39.754870000000004,-75.60857,155.7653532857582 km
DUKE ENERGY CORP,"550 South Tryon Street, Charlotte, NC, 28202",35.22398,-80.84846,530.0119682858804 km
FLOWSERVE CORP,"5215 North O'Connor Boulevard, Suite 2300, Irving, TX, 75039",32.87117,-96.93809,1912.2731054285791 km
DYCOM INDUSTRIES INC,"11780 US Highway 1, Suite 600, Palm Beach Gardens, FL, 33408",26.84945,-80.05856,1365.5108040623138 km
PERKINELMER INC,"940 Winter Street, Waltham, MA, 2451",42.40374,-71.27735,623.4634528131951 km
EASTGROUP PROPERTIES,"190 East Capitol Street, Suite 400, Jackson, MS, 39201",32.30007,-90.1863,1396.1370341474064 km
EATON CORP PLC,"Eaton House, 30 Pembroke Road, Dublin, 4",53.33286,-6.241169999999999,5458.4474566733425 km
EATON VANCE CORP,"Two International Place, Boston, MA, 2110",42.64071,-71.23751999999999,642.105426646754 km
ECOLAB INC,"370 Wabasha Street North, St. Paul, MN, 55102",44.945890000000006,-93.09456999999999,1488.061220184065 km
EL PASO ELECTRIC CO,"Stanton Tower, 100 North Stanton, El Paso, TX, 79901",31.75848,-106.48586,2778.3018849233863 km
ELECTRO SCIENTIFIC INDS INC,"13900 NW Science Park Drive, Portland, OR, 97229",45.524879999999996,-122.8201,3798.204145738293 km
EMERSON ELECTRIC CO,"8000 West Florissant Avenue, PO Box 4100, St. Louis, MO, 63136",38.7321,-90.27826999999999,1149.0148712491248 km
ENERGEN CORP,"605 Richard Arrington Jr. Boulevard North, Birmingham, AL, 35203",33.520579999999995,-86.80705999999999,1060.8904819510692 km
ATMOS ENERGY CORP,"Three Lincoln Centre, Suite 1800, 5430 LBJ Freeway, Dallas, TX, 75240",,,
EQUIFAX INC,"1550 Peachtree Street, N.W., Atlanta, GA, 30309",33.79703,-84.38855,868.7247395202892 km
EQT CORP,"EQT Plaza, 625 Liberty Avenue, Suite 1700, Pittsburgh, PA, 15222",40.44245,-80.00098,306.5983518904674 km
ESTERLINE TECHNOLOGIES CORP,"500 108th Avenue NE, Suite 1500, Bellevue, WA, 98004",47.61489,-122.19576,3735.529037744198 km
NEWMARKET CORP,"330 South Fourth Street, Richmond, VA, 23219",37.53775,-77.4443,155.07428937823727 km
EXAR CORP,"48720 Kato Road, Fremont, CA, 94538",37.46102,-121.92275,3895.8162671102805 km
EXPEDITORS INTL WASH INC,"1015 Third Avenue, 12th Floor, Seattle, WA, 98104",47.601620000000004,-122.3302,3745.6821060642887 km
EXXON MOBIL CORP,"5959 Las Colinas Boulevard, Irving, TX, 75039",32.89026,-96.94936,1912.2903292887584 km
FMC CORP,"1735 Market Street, Philadelphia, PA, 19103",39.95362,-75.16946999999999,199.11365744583983 km
NEXTERA ENERGY INC,"700 Universe Boulevard, Juno Beach, FL, 33408",26.85983,-80.06132,1364.4354509709915 km
FEDEX CORP,"942 South Shady Grove Road, Memphis, TN, 38120",35.10566,-89.85816,1214.8433539710816 km
FEDERAL REALTY INVESTMENT TR,"1626 East Jefferson Street, Rockville, MD, 20852",39.06123,-77.12813,19.74081556160141 km
FEDERAL SIGNAL CORP,"1415 West 22nd Street, Suite 1100, Oak Brook, IL, 60523",41.84616,-87.95596,982.4338001697477 km
MACY'S INC,"7 West Seventh Street, Cincinnati, OH, 45202",39.10329,-84.51406999999999,647.7776068980892 km
FIFTH THIRD BANCORP,"38 Fountain Square Plaza, Cincinnati, OH, 45263",39.10136,-84.51246,647.6396406690535 km
REGIONS FINANCIAL CORP,"1900 Fifth Avenue North, Birmingham, AL, 35203",33.51807,-86.80906999999999,1061.2071705938831 km
FIRSTMERIT CORP,"III Cascade Plaza, 7th Floor, Akron, OH, 44308",41.0799,-81.51821,452.76324321686224 km
TRUSTMARK CORP,"248 East Capitol Street, Jackson, MS, 39201",32.30022,-90.18424,1395.9690523835393 km
M & T BANK CORP,"One M&T Plaza, Buffalo, NY, 14203",42.88373,-78.87408,468.86912377438597 km
U S BANCORP,"800 Nicollet Mall, Minneapolis, MN, 55402",44.97558,-93.27387,1502.4469760014915 km
FIRST HORIZON NATIONAL CORP,"165 Madison Avenue, Memphis, TN, 38103",35.14439,-90.05076,1229.165531751829 km
FLOWERS FOODS INC,"1919 Flowers Circle, Thomasville, GA, 31757",30.81066,-83.93691,1095.935349592947 km
FLUOR CORP,"6700 Las Colinas Boulevard, Irving, TX, 75039",32.90332,-96.94966,1911.6803421809623 km
FORD MOTOR CO,"One American Road, Dearborn, MI, 48126",42.31419,-83.21094000000001,645.3285048720253 km
