,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
1571,10/18/1989,0.629524709,0.62992126
1572,10/19/1989,0.626566416,0.626959248
1573,10/20/1989,0.629128657,0.629524709
1574,10/23/1989,0.627155848,0.62754942
1575,10/24/1989,0.622277536,0.622665006
1576,10/25/1989,0.621118012,0.62150404
1577,10/26/1989,0.620809536,0.62119518
1578,10/27/1989,0.634517766,0.635324015
1579,10/30/1989,0.633633253,0.634034999
1580,10/31/1989,0.632711167,0.633111744
1581,11/1/1989,0.632111252,0.632511069
1582,11/2/1989,0.637836459,0.638243554
1583,11/3/1989,0.636253738,0.636658815
1584,11/6/1989,0.633312223,0.633713561
1585,11/7/1989,0.632071298,0.632111252
1586,11/8/1989,0.630318311,0.630715863
1587,11/9/1989,0.629603979,0.63000063
1588,11/10/1989,0.633713561,0.634115409
1589,11/13/1989,0.632711167,0.633111744
1590,11/14/1989,0.628930818,0.629326621
1591,11/15/1989,0.633512829,0.633914422
1592,11/16/1989,0.633111744,0.633512829
1593,11/17/1989,0.636334712,0.636739892
1594,11/20/1989,0.64061499,0.641025641
1595,11/21/1989,0.637551801,0.637958533
1596,11/22/1989,0.638977636,0.639386189
1597,11/23/1989,0.638977636,0.639386189
1598,11/24/1989,0.639590662,0.64
1599,11/27/1989,0.641025641,0.641436818
1600,11/28/1989,0.639181847,0.639590662
1601,11/29/1989,0.638162093,0.638569604
1602,11/30/1989,0.636456212,0.636861546
1603,12/1/1989,0.639386189,0.639795266
1604,12/4/1989,0.64,0.640409862
1605,12/5/1989,0.636132316,0.636537237
1606,12/6/1989,0.634236063,0.634638573
1607,12/7/1989,0.633593107,0.633994801
1608,12/8/1989,0.633312223,0.633713561
1609,12/11/1989,0.628180162,0.62857502
1610,12/12/1989,0.623635797,0.624024961
1611,12/13/1989,0.626174076,0.626566416
1612,12/14/1989,0.625782228,0.626174076
1613,12/15/1989,0.622083981,0.622471211
1614,12/18/1989,0.623441397,0.623830318
1615,12/19/1989,0.624609619,0.625
1616,12/20/1989,0.624219725,0.624609619
1617,12/21/1989,0.620155039,0.62053987
