acquirers,0,1,2,3,4
BNC Bancorp North Carolina,"PEOPLES BANCORP OF NORTH CAROLINA, INC.",BNC BANCORP,NCAL BANCORP,CU BANCORP,BOR BANCORP
County Bancorp Wisconsin,"COUNTY BANCORP, INC.","COUNTRY BANCORP, INC.","HOME BANCORP WISCONSIN, INC.","TRI-COUNTY BANCORP, INC.",TRI-COUNTY BANCORP.
MB Financial Illinois,"MB FINANCIAL, INC.","MSB FINANCIAL, INC.","SNB FINANCIAL, INC.",BNH FINANCIAL,"PB FINANCIAL HOLDINGS, INC."
Hanmi Financial California,HANMI FINANCIAL CORPORATION,HAINES FINANCIAL CORP,VAN FINANCIAL CORPORATION,MECHANICS FINANCIAL CORPORATION,PYRAMID FINANCIAL CORPORATION
Capital Bank Financial Florida,CAPITAL BANK FINANCIAL CORP.,CAPITAL ONE FINANCIAL CORPORATION,BNH FINANCIAL,STATE BANK FINANCIAL CORPORATION,SELECT BANK FINANCIAL CORPORATION
WSFS Financial Delaware,"WSB FINANCIAL, LTD",FSB FINANCIAL CORP,BNH FINANCIAL,WVS FINANCIAL CORP.,HF FINANCIAL CORP.
Great Western Bancorp South Dakota,"GREAT SOUTHERN BANCORP, INC.","SOUTHWESTERN BANCORP, INC.",EASTERN BANK CORPORATION,BANCORP OF SOUTHERN INDIANA,"GREATER ROCHESTER BANCORP, INC."
Charter Financial Georgia,CARVER FINANCIAL CORPORATION,BNH FINANCIAL,MRV FINANCIAL CORP,R CORP FINANCIAL,ENTEGRA FINANCIAL CORP.
BBCN Bancorp California,"BBCN BANCORP, INC.",BNC BANCORP,CNB BANCORP,CU BANCORP,"BANC OF CALIFORNIA, INC."
BOK Financial Oklahoma,BNH FINANCIAL,BOK FINANCIAL CORPORATION,HOME FINANCIAL BANCORP,FSB FINANCIAL CORP,HSB FINANCIAL CORP.
Franklin Financial Network Tennessee,"FRANKLIN FINANCIAL NETWORK, INC.",FRANKLIN FINANCIAL SERVICES CORPORATION,"COMMODORE FINANCIAL NETWORK, INC.","KLEIN FINANCIAL, INC.","OAK FINANCIAL, INC."
Pacificmmerce Bank California,"BANC OF CALIFORNIA, INC.","PACIFIC PREMIER BANCORP, INC.",PACIFIC ENTERPRISE BANCORP,"COMMERCE BANCORP, INC","COMMERCE BANCORP, INC."
